isl,osl,tp,conc,metric,ours (MI355x widegraph-default),IX MI355x vllm,IX B200 vllm,IX B300 vllm
1024,1024,4,4,tput,611.102,670.958,946.485,986.342
1024,1024,4,4,ttft,149.065,141.324,81.519,85.301
1024,1024,4,4,tpot,12.612,11.491,8.161,7.828
1024,1024,4,8,tput,997.535,1045.716,1577.393,1662.356
1024,1024,4,8,ttft,154.491,165.031,91.257,100.009
1024,1024,4,8,tpot,15.513,14.796,9.798,9.3
1024,1024,4,16,tput,1640.153,1718.919,2452.288,2500.752
1024,1024,4,16,ttft,181.016,187.334,108.776,109.089
1024,1024,4,16,tpot,19.015,18.085,12.729,12.474
1024,1024,4,32,tput,2428.415,2619.293,3688.317,3828.794
1024,1024,4,32,ttft,230.844,230.816,151.355,145.409
1024,1024,4,32,tpot,25.497,23.569,16.773,16.142
1024,1024,4,64,tput,3584.556,3871.798,5414.069,5609.466
1024,1024,4,64,ttft,317.096,359.839,232.096,195.17
1024,1024,4,64,tpot,34.571,31.932,22.869,22.084
1024,1024,4,128,tput,,,,
1024,1024,4,128,ttft,,,,
1024,1024,4,128,tpot,,,,
1024,1024,8,4,tput,714.494,692.283,1091.382,1117.17
1024,1024,8,4,ttft,149.851,123.385,74.141,89.081
1024,1024,8,4,tpot,10.718,11.14,7.062,6.863
1024,1024,8,8,tput,1226.652,1073.911,,
1024,1024,8,8,ttft,170.022,173.529,,
1024,1024,8,8,tpot,12.546,14.334,,
1024,1024,8,16,tput,2020.66,1981.102,,
1024,1024,8,16,ttft,171.539,187.773,,
1024,1024,8,16,tpot,15.405,15.627,,
1024,1024,8,32,tput,3100.54,3118.611,,
1024,1024,8,32,ttft,211.616,250.299,,
1024,1024,8,32,tpot,19.929,19.735,,
1024,1024,8,64,tput,4608.457,4579.565,,
1024,1024,8,64,ttft,275.114,303.93,,
1024,1024,8,64,tpot,26.848,26.893,,
1024,1024,8,128,tput,,,,
1024,1024,8,128,ttft,,,,
1024,1024,8,128,tpot,,,,
8192,1024,4,4,tput,2440.333,2589.02,3868.893,4023.861
8192,1024,4,4,ttft,431.002,466.685,237.844,211.487
8192,1024,4,4,tpot,13.938,13.084,8.816,8.515
8192,1024,4,8,tput,3806.167,3907.547,6085.998,6435.436
8192,1024,4,8,ttft,533.28,579.209,308.515,278.216
8192,1024,4,8,tpot,17.825,17.308,11.176,10.582
8192,1024,4,16,tput,5860.726,6002.622,9140.888,9352.498
8192,1024,4,16,ttft,650.695,669.98,387.829,395.308
8192,1024,4,16,tpot,23.274,22.702,14.932,14.62
8192,1024,4,32,tput,7962.721,8167.306,12906.969,13423.088
8192,1024,4,32,ttft,875.239,976.158,570.572,545.733
8192,1024,4,32,tpot,34.205,33.253,21.033,20.253
8192,1024,4,64,tput,10299.387,10789.771,15323.6,18134.599
8192,1024,4,64,ttft,1414.206,1492.419,4599.731,865.825
8192,1024,4,64,tpot,53.53,51.028,31.674,30.326
8192,1024,4,128,tput,,,,
8192,1024,4,128,ttft,,,,
8192,1024,4,128,tpot,,,,
8192,1024,8,4,tput,2940.756,2691.359,3943.091,4542.569
8192,1024,8,4,ttft,281.421,385.297,229.151,186.312
8192,1024,8,4,tpot,11.613,12.639,8.675,7.54
8192,1024,8,8,tput,4838.111,4228.766,,
8192,1024,8,8,ttft,362.149,416.78,,
8192,1024,8,8,tpot,14.067,16.112,,
8192,1024,8,16,tput,7350.201,6960.219,,
8192,1024,8,16,ttft,475.782,540.521,,
8192,1024,8,16,tpot,18.556,19.561,,
8192,1024,8,32,tput,10396.214,10027.23,,
8192,1024,8,32,ttft,719.36,726.715,,
8192,1024,8,32,tpot,26.118,27.084,,
8192,1024,8,64,tput,13158.794,13450.445,,
8192,1024,8,64,ttft,1185.765,1013.907,,
8192,1024,8,64,tpot,41.855,41.081,,
8192,1024,8,128,tput,,,,
8192,1024,8,128,ttft,,,,
8192,1024,8,128,tpot,,,,
