tp_label,stage,rank,category,sub_kernel,total_time_us,call_count,avg_time_us
k3_conc1_dcp8_isl84k,PREFILL,0,Activation,SiLU/SwiGLU,1512.0,375,4.0
k3_conc1_dcp8_isl84k,PREFILL,0,Attention,aiter attn,677270.5,408,1660.0
k3_conc1_dcp8_isl84k,PREFILL,0,Attention,MLA attn residual,489125.9,14212,34.4
k3_conc1_dcp8_isl84k,PREFILL,0,Attention,MLA merge states,18063.1,240,75.3
k3_conc1_dcp8_isl84k,PREFILL,0,Communication,NCCL/RCCL,1514817.2,3792,399.5
k3_conc1_dcp8_isl84k,PREFILL,0,Communication,CustomAR 2-stage,274103.8,14378,19.1
k3_conc1_dcp8_isl84k,PREFILL,0,Communication,CustomAR 1-stage,65661.2,6256,10.5
k3_conc1_dcp8_isl84k,PREFILL,0,GEMM,hipBLASLt (Cijk),1321562.4,28256,46.8
k3_conc1_dcp8_isl84k,PREFILL,0,GEMM,AITER hgemm bf16,252129.4,30874,8.2
k3_conc1_dcp8_isl84k,PREFILL,0,GEMM,AITER flydsl MoE,158253.0,6256,25.3
k3_conc1_dcp8_isl84k,PREFILL,0,GEMM,AITER wfp4 batched,15982.0,3264,4.9
k3_conc1_dcp8_isl84k,PREFILL,0,GEMM,rocBLAS splitK,11713.7,532,22.0
k3_conc1_dcp8_isl84k,PREFILL,0,KDA Linear Attn,KDA gated-delta,381057.5,6348,60.0
k3_conc1_dcp8_isl84k,PREFILL,0,KDA Linear Attn,KDA conv1d,86393.7,6348,13.6
k3_conc1_dcp8_isl84k,PREFILL,0,KDA Linear Attn,KDA gate/state,65621.0,2760,23.8
k3_conc1_dcp8_isl84k,PREFILL,0,KDA Linear Attn,KDA GLA,31165.4,552,56.5
k3_conc1_dcp8_isl84k,PREFILL,0,Memory,Fill,10166.4,1931,5.3
k3_conc1_dcp8_isl84k,PREFILL,0,Memory,Memcpy,251.9,26,9.7
