tp_label,stage,rank,category,sub_kernel,total_time_us,call_count,avg_time_us
mi355x_isl100k,PREFILL,0,Activation,SiLU/SwiGLU,1542.1,380,4.1
mi355x_isl100k,PREFILL,0,Attention,aiter attn,914746.2,480,1905.7
mi355x_isl100k,PREFILL,0,Attention,MLA attn residual,537206.8,14212,37.8
mi355x_isl100k,PREFILL,0,Attention,MLA merge states,24336.3,288,84.5
mi355x_isl100k,PREFILL,0,Communication,NCCL/RCCL,1891981.3,4289,441.1
mi355x_isl100k,PREFILL,0,Communication,CustomAR 2-stage,280355.5,14015,20.0
mi355x_isl100k,PREFILL,0,Communication,CustomAR 1-stage,57414.3,6164,9.3
mi355x_isl100k,PREFILL,0,GEMM,hipBLASLt (Cijk),1636044.0,28782,56.8
mi355x_isl100k,PREFILL,0,GEMM,AITER hgemm bf16,252297.4,30441,8.3
mi355x_isl100k,PREFILL,0,GEMM,AITER flydsl MoE,150108.1,6164,24.4
mi355x_isl100k,PREFILL,0,GEMM,AITER wfp4 batched,16145.6,3216,5.0
mi355x_isl100k,PREFILL,0,GEMM,rocBLAS splitK,12121.3,541,22.4
mi355x_isl100k,PREFILL,0,KDA Linear Attn,KDA gated-delta,428293.2,6486,66.0
mi355x_isl100k,PREFILL,0,KDA Linear Attn,KDA conv1d,98543.0,6486,15.2
mi355x_isl100k,PREFILL,0,KDA Linear Attn,KDA gate/state,75245.2,3105,24.2
mi355x_isl100k,PREFILL,0,KDA Linear Attn,KDA GLA,36617.1,621,59.0
mi355x_isl100k,PREFILL,0,Memory,Fill,11694.4,2099,5.6
mi355x_isl100k,PREFILL,0,Memory,Memcpy,355.7,30,11.9
mi355x_isl100k,PREFILL,0,MoE Routing,MoE sort mxfp4,177098.5,22264,8.0
mi355x_isl100k,PREFILL,0,MoE Routing,AITER grouped_topk,116567.2,6992,16.7
mi355x_isl100k,PREFILL,0,Normalization,Add+RMSNorm+quant,52763.4,7980,6.6
mi355x_isl100k,PREFILL,0,Normalization,LayerNorm,38409.5,5244,7.3
