M,N,K,bias,dtype,outdtype,scaleAB,bpreshuffle
1,896,7168,False,torch.bfloat16,torch.bfloat16,False,False
2,896,7168,False,torch.bfloat16,torch.bfloat16,False,False
4,896,7168,False,torch.bfloat16,torch.bfloat16,False,False
8,896,7168,False,torch.bfloat16,torch.bfloat16,False,False
16,896,7168,False,torch.bfloat16,torch.bfloat16,False,False
24,896,7168,False,torch.bfloat16,torch.bfloat16,False,False
32,896,7168,False,torch.bfloat16,torch.bfloat16,False,False
40,896,7168,False,torch.bfloat16,torch.bfloat16,False,False
48,896,7168,False,torch.bfloat16,torch.bfloat16,False,False
56,896,7168,False,torch.bfloat16,torch.bfloat16,False,False
64,896,7168,False,torch.bfloat16,torch.bfloat16,False,False
96,896,7168,False,torch.bfloat16,torch.bfloat16,False,False
128,896,7168,False,torch.bfloat16,torch.bfloat16,False,False
256,896,7168,False,torch.bfloat16,torch.bfloat16,False,False
512,896,7168,False,torch.bfloat16,torch.bfloat16,False,False
1024,896,7168,False,torch.bfloat16,torch.bfloat16,False,False
2048,896,7168,False,torch.bfloat16,torch.bfloat16,False,False
4096,896,7168,False,torch.bfloat16,torch.bfloat16,False,False
8192,896,7168,False,torch.bfloat16,torch.bfloat16,False,False
1,1024,1536,False,torch.bfloat16,torch.bfloat16,False,False
2,1024,1536,False,torch.bfloat16,torch.bfloat16,False,False
4,1024,1536,False,torch.bfloat16,torch.bfloat16,False,False
8,1024,1536,False,torch.bfloat16,torch.bfloat16,False,False
16,1024,1536,False,torch.bfloat16,torch.bfloat16,False,False
24,1024,1536,False,torch.bfloat16,torch.bfloat16,False,False
32,1024,1536,False,torch.bfloat16,torch.bfloat16,False,False
40,1024,1536,False,torch.bfloat16,torch.bfloat16,False,False
48,1024,1536,False,torch.bfloat16,torch.bfloat16,False,False
56,1024,1536,False,torch.bfloat16,torch.bfloat16,False,False
64,1024,1536,False,torch.bfloat16,torch.bfloat16,False,False
96,1024,1536,False,torch.bfloat16,torch.bfloat16,False,False
128,1024,1536,False,torch.bfloat16,torch.bfloat16,False,False
256,1024,1536,False,torch.bfloat16,torch.bfloat16,False,False
512,1024,1536,False,torch.bfloat16,torch.bfloat16,False,False
1024,1024,1536,False,torch.bfloat16,torch.bfloat16,False,False
2048,1024,1536,False,torch.bfloat16,torch.bfloat16,False,False
4096,1024,1536,False,torch.bfloat16,torch.bfloat16,False,False
8192,1024,1536,False,torch.bfloat16,torch.bfloat16,False,False
16384,1024,1536,False,torch.bfloat16,torch.bfloat16,False,False
24576,1024,1536,False,torch.bfloat16,torch.bfloat16,False,False
32768,1024,1536,False,torch.bfloat16,torch.bfloat16,False,False
49152,1024,1536,False,torch.bfloat16,torch.bfloat16,False,False
65536,1024,1536,False,torch.bfloat16,torch.bfloat16,False,False
67268,1024,1536,False,torch.bfloat16,torch.bfloat16,False,False
1,1024,4096,False,torch.bfloat16,torch.bfloat16,False,False
2,1024,4096,False,torch.bfloat16,torch.bfloat16,False,False
4,1024,4096,False,torch.bfloat16,torch.bfloat16,False,False
8,1024,4096,False,torch.bfloat16,torch.bfloat16,False,False
16,1024,4096,False,torch.bfloat16,torch.bfloat16,False,False
24,1024,4096,False,torch.bfloat16,torch.bfloat16,False,False
32,1024,4096,False,torch.bfloat16,torch.bfloat16,False,False
40,1024,4096,False,torch.bfloat16,torch.bfloat16,False,False
48,1024,4096,False,torch.bfloat16,torch.bfloat16,False,False
56,1024,4096,False,torch.bfloat16,torch.bfloat16,False,False
64,1024,4096,False,torch.bfloat16,torch.bfloat16,False,False
96,1024,4096,False,torch.bfloat16,torch.bfloat16,False,False
128,1024,4096,False,torch.bfloat16,torch.bfloat16,False,False
256,1024,4096,False,torch.bfloat16,torch.bfloat16,False,False
