M,N,K,bias,dtype,outdtype,scaleAB,bpreshuffle
8,896,7168,False,torch.bfloat16,torch.bfloat16,False,False
24,896,7168,False,torch.bfloat16,torch.bfloat16,False,False
32,896,7168,False,torch.bfloat16,torch.bfloat16,False,False
40,896,7168,False,torch.bfloat16,torch.bfloat16,False,False
48,896,7168,False,torch.bfloat16,torch.bfloat16,False,False
56,896,7168,False,torch.bfloat16,torch.bfloat16,False,False
64,896,7168,False,torch.bfloat16,torch.bfloat16,False,False
72,896,7168,False,torch.bfloat16,torch.bfloat16,False,False
80,896,7168,False,torch.bfloat16,torch.bfloat16,False,False
88,896,7168,False,torch.bfloat16,torch.bfloat16,False,False
96,896,7168,False,torch.bfloat16,torch.bfloat16,False,False
104,896,7168,False,torch.bfloat16,torch.bfloat16,False,False
112,896,7168,False,torch.bfloat16,torch.bfloat16,False,False
120,896,7168,False,torch.bfloat16,torch.bfloat16,False,False
128,896,7168,False,torch.bfloat16,torch.bfloat16,False,False
130,896,7168,False,torch.bfloat16,torch.bfloat16,False,False
132,896,7168,False,torch.bfloat16,torch.bfloat16,False,False
136,896,7168,False,torch.bfloat16,torch.bfloat16,False,False
164,896,7168,False,torch.bfloat16,torch.bfloat16,False,False
165,896,7168,False,torch.bfloat16,torch.bfloat16,False,False
166,896,7168,False,torch.bfloat16,torch.bfloat16,False,False
179,896,7168,False,torch.bfloat16,torch.bfloat16,False,False
181,896,7168,False,torch.bfloat16,torch.bfloat16,False,False
185,896,7168,False,torch.bfloat16,torch.bfloat16,False,False
202,896,7168,False,torch.bfloat16,torch.bfloat16,False,False
208,896,7168,False,torch.bfloat16,torch.bfloat16,False,False
216,896,7168,False,torch.bfloat16,torch.bfloat16,False,False
217,896,7168,False,torch.bfloat16,torch.bfloat16,False,False
220,896,7168,False,torch.bfloat16,torch.bfloat16,False,False
223,896,7168,False,torch.bfloat16,torch.bfloat16,False,False
233,896,7168,False,torch.bfloat16,torch.bfloat16,False,False
236,896,7168,False,torch.bfloat16,torch.bfloat16,False,False
245,896,7168,False,torch.bfloat16,torch.bfloat16,False,False
248,896,7168,False,torch.bfloat16,torch.bfloat16,False,False
249,896,7168,False,torch.bfloat16,torch.bfloat16,False,False
257,896,7168,False,torch.bfloat16,torch.bfloat16,False,False
262,896,7168,False,torch.bfloat16,torch.bfloat16,False,False
263,896,7168,False,torch.bfloat16,torch.bfloat16,False,False
266,896,7168,False,torch.bfloat16,torch.bfloat16,False,False
273,896,7168,False,torch.bfloat16,torch.bfloat16,False,False
276,896,7168,False,torch.bfloat16,torch.bfloat16,False,False
277,896,7168,False,torch.bfloat16,torch.bfloat16,False,False
286,896,7168,False,torch.bfloat16,torch.bfloat16,False,False
326,896,7168,False,torch.bfloat16,torch.bfloat16,False,False
333,896,7168,False,torch.bfloat16,torch.bfloat16,False,False
347,896,7168,False,torch.bfloat16,torch.bfloat16,False,False
348,896,7168,False,torch.bfloat16,torch.bfloat16,False,False
349,896,7168,False,torch.bfloat16,torch.bfloat16,False,False
