M,N,K,bias,dtype,outdtype,scaleAB,bpreshuffle
4096,6288,7168,False,torch.bfloat16,torch.bfloat16,False,False
4096,1536,128,False,torch.bfloat16,torch.bfloat16,False,False
4096,7168,1536,False,torch.bfloat16,torch.bfloat16,False,False
4096,8448,7168,False,torch.bfloat16,torch.bfloat16,False,False
4096,7168,4224,False,torch.bfloat16,torch.bfloat16,False,False
4096,896,7168,False,torch.bfloat16,torch.bfloat16,False,False
4096,3584,7168,False,torch.bfloat16,torch.bfloat16,False,False
4096,1536,7168,False,torch.bfloat16,torch.bfloat16,False,False
4096,7168,768,False,torch.bfloat16,torch.bfloat16,False,False
4096,7168,3584,False,torch.bfloat16,torch.bfloat16,False,False
4096,2112,7168,False,torch.bfloat16,torch.bfloat16,False,False
4096,2304,1536,False,torch.bfloat16,torch.bfloat16,False,False
32,20480,7168,False,torch.bfloat16,torch.bfloat16,False,False
32,6288,7168,False,torch.bfloat16,torch.bfloat16,False,False
32,1536,128,False,torch.bfloat16,torch.bfloat16,False,False
32,7168,1536,False,torch.bfloat16,torch.bfloat16,False,False
32,8448,7168,False,torch.bfloat16,torch.bfloat16,False,False
32,7168,4224,False,torch.bfloat16,torch.bfloat16,False,False
32,896,7168,False,torch.bfloat16,torch.bfloat16,False,False
32,3584,7168,False,torch.bfloat16,torch.bfloat16,False,False
32,1536,7168,False,torch.bfloat16,torch.bfloat16,False,False
32,7168,768,False,torch.bfloat16,torch.bfloat16,False,False
32,7168,3584,False,torch.bfloat16,torch.bfloat16,False,False
32,2112,7168,False,torch.bfloat16,torch.bfloat16,False,False
4096,3072,512,False,torch.bfloat16,torch.bfloat16,False,False
3141,6288,7168,False,torch.bfloat16,torch.bfloat16,False,False
3141,1536,128,False,torch.bfloat16,torch.bfloat16,False,False
3141,7168,1536,False,torch.bfloat16,torch.bfloat16,False,False
3141,8448,7168,False,torch.bfloat16,torch.bfloat16,False,False
3141,7168,4224,False,torch.bfloat16,torch.bfloat16,False,False
3141,896,7168,False,torch.bfloat16,torch.bfloat16,False,False
3141,3584,7168,False,torch.bfloat16,torch.bfloat16,False,False
3141,1536,7168,False,torch.bfloat16,torch.bfloat16,False,False
3141,7168,768,False,torch.bfloat16,torch.bfloat16,False,False
3141,7168,3584,False,torch.bfloat16,torch.bfloat16,False,False
3141,2112,7168,False,torch.bfloat16,torch.bfloat16,False,False
3141,2304,1536,False,torch.bfloat16,torch.bfloat16,False,False
3141,3072,512,False,torch.bfloat16,torch.bfloat16,False,False
4095,3072,512,False,torch.bfloat16,torch.bfloat16,False,False
3018,6288,7168,False,torch.bfloat16,torch.bfloat16,False,False
3018,1536,128,False,torch.bfloat16,torch.bfloat16,False,False
3018,7168,1536,False,torch.bfloat16,torch.bfloat16,False,False
3018,8448,7168,False,torch.bfloat16,torch.bfloat16,False,False
3018,7168,4224,False,torch.bfloat16,torch.bfloat16,False,False
3018,896,7168,False,torch.bfloat16,torch.bfloat16,False,False
3018,3584,7168,False,torch.bfloat16,torch.bfloat16,False,False
3018,1536,7168,False,torch.bfloat16,torch.bfloat16,False,False
3018,7168,768,False,torch.bfloat16,torch.bfloat16,False,False
3018,7168,3584,False,torch.bfloat16,torch.bfloat16,False,False
3018,2112,7168,False,torch.bfloat16,torch.bfloat16,False,False
3018,2304,1536,False,torch.bfloat16,torch.bfloat16,False,False
3017,3072,512,False,torch.bfloat16,torch.bfloat16,False,False
